20230827	16:25:24	579e3473-02dc-4970-b87b-f23c29582470	/old	GET
20230827	16:25:24	c0bddd4f-de5e-46a0-8642-02872ea011f9	/css/style.css	GET
20230827	16:25:42	17e53885-a494-438d-88eb-9dfc71a85df1	/new-page.html	GET
20230827	16:25:42	843e3dc5-5800-48ab-9c1c-5ee56beecbb4	/css/style.css	GET
20230827	16:25:42	650ac620-3ad3-40f5-aaaa-bd72f1e54d51	/img/img1.jpg	GET
20230827	16:27:23	6baed8f7-40e5-46c7-b622-f5d8bf4fcd81	/new-page.html	GET
20230827	16:27:23	16ec0921-43db-4a0c-bd50-18dd4a65c86c	/css/style.css	GET
20230827	16:27:23	1916bac7-d90f-4a6d-85c6-4c4b9c8d410f	/img/img1.jpg	GET
20230827	16:27:46	cf95aac8-3dd5-4fb1-9ad2-f51bcc6061fd	/new-page.html	GET
20230827	16:28:31	300b5575-e5db-4ccd-9e6a-ffcc15cb81d3	/new-page.html	GET
20230827	16:28:32	62f764b0-41ad-4115-ba0c-cacddfe81f1d	/new-page.html	GET
20230827	16:52:02	65c3d933-31ab-49db-b900-e34e6f3f11e7	/	GET
20230827	16:52:02	de5ff6b7-85bb-42ac-8d09-474cdee9166b	/css/style.css	GET
20230827	16:54:40	ca623270-cb20-436a-8d48-e77d7c85e21e	/	GET
20230827	16:54:40	f999c78b-5738-4703-b47b-76d62bb960ad	/css/style.css	GET
20230827	16:54:52	682fa2d6-1586-4210-b847-3276df64670e	/	GET
20230827	16:54:52	2ac2f5fa-6b7d-44ea-850e-56deaed3b401	/css/style.css	GET
20230827	18:32:14	5ca49ae5-a5db-48e1-a7ae-634beddea351	GET	undefined	/
20230827	18:32:14	72258ef2-487c-4a57-a904-e95269f3ca75	GET	undefined	/css/style.css
20230827	18:36:38	ba4895d4-2473-4fa4-8567-4171266490fc	GET	undefined	/
20230827	18:36:38	760325bf-3f1f-4a52-8cd1-5e2d5f16cf66	GET	undefined	/css/style.css
20230827	18:36:52	74fb81a9-afb4-454d-8c1b-b3bf24782e8b	GET	undefined	/
20230827	18:36:52	2cc2d1b5-8397-4121-ba9b-bd0cf1ae7a54	GET	undefined	/css/style.css
20230827	18:37:44	2d526a76-6087-4f66-aac3-26d7822f9b0c	OPTIONS	https://www.google.com	/
20230827	18:37:44	6f8ee953-66fd-4b64-88c1-e1180dc82bd6	GET	https://www.google.com	/
20230827	18:42:44	2f76962e-2385-47e4-a6dd-40a1dc70f122	GET	undefined	/
20230827	18:42:45	3e723b66-83d8-49b3-8e1f-e0e4a2de1d45	GET	undefined	/css/style.css
20230827	18:42:55	3006f6ea-a6d5-4ea9-a5b4-38406800904a	OPTIONS	https://www.google.com	/
20230827	18:42:55	dee06b27-e813-42b2-b904-35946ddefe35	GET	https://www.google.com	/
20230827	18:43:10	2a06cc73-5e13-4b1d-912e-0934d60fc22c	OPTIONS	https://www.google.com	/
20230827	18:43:10	7a49f803-22a8-4f86-a008-282b882ef453	GET	https://www.google.com	/
20230827	18:53:41	0cbb947d-a0ec-4add-bfc7-de0806273b5e	OPTIONS	https://www.google.com	/
20230827	18:53:41	aa75848b-12e0-4333-a015-6b445adab6db	GET	https://www.google.com	/
20230827	18:53:58	d6544b5d-5e7f-42ae-8197-60c0f05ffbc1	GET	undefined	/
20230827	18:53:59	753e0c17-73a2-4866-8a1a-f25c10f0149e	GET	undefined	/
20230827	18:54:31	3f20d6c1-44c2-44d7-bf14-a3f8aea23ec6	GET	undefined	/
20230827	18:54:34	79650902-499b-4415-8bee-f8216ba66c74	GET	undefined	/
20230827	18:55:22	a342400f-340e-4fee-bef4-31fc2cd52be7	GET	undefined	/
20230827	18:55:23	0a06f097-57eb-4199-be8f-9b63aea04e8c	GET	undefined	/
20230827	18:55:24	7e5f2064-2103-451f-a13b-f06ef2367b39	GET	undefined	/
20230827	18:55:38	33070cf7-11cf-4959-9532-1e1da9060994	GET	undefined	/
20230827	18:55:39	3d863b72-d6b4-4b84-bee3-4faed8a5fd2e	GET	undefined	/
